"idproducto"|"cod_barra"|"nombre"|"precio_venta_minorista"|"precio_venta_mayorista"|"cantidad_mayorista"|"precio_compra"|"stock"|"stock_min"|"activar"|"venta_mayorista"|"promocion"|"ult_venta"|"ult_compra"|"fk_idproducto_categoria"|"fk_idproducto_unidad"|"fk_idproducto_marca"|"alquilado"|"precio_venta_promocion"|"stock_fijo"|"precio_alquiler"|"precio_reposicion"|"descripcion"
55|"892-B8CL8"|"Bandeja M c/Divisorias (p/picadas)"|0.00|0.00|0|0.00|40|5|t|f|f|"2023-01-03"|"2023-01-03"|6|1|1|t|0|40|5000|35000|"sin-dato"
54|"833-64K7Y"|"Bandejas Tramontina G"|0.00|0.00|0|0.00|20|2|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|20|20000|150000|"sin-dato"
53|"746-NX6BJ"|"Bufeteras tramontina c/accesorios"|0.00|0.00|0|0.00|14|2|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|14|70000|2000000|"sin-dato"
52|"689-5YDAC"|"Champañeras de Clubes M"|0.00|0.00|0|0.00|24|4|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|24|5000|40000|"sin-dato"
51|"648-HUADD"|"Champañeras de aluminio Eco"|0.00|0.00|0|0.00|18|5|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|18|5000|30000|"sin-dato"
50|"588-MWLML"|"Champañeras Inox Grandes"|0.00|0.00|0|0.00|40|5|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|40|7500|95000|"sin-dato"
49|"482-OUDPF"|"Champañeras Inox P"|0.00|0.00|0|0.00|30|5|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|30|5000|75000|"sin-dato"
48|"388-SBPGG"|"CHOPERAS Grandes"|0.00|0.00|0|0.00|100|18|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|100|5000|25000|"sin-dato"
47|"351-XPUKW"|"Copas Barrocas - Ambar"|0.00|0.00|0|0.00|200|25|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|200|5000|35000|"sin-dato"
46|"276-191M4"|"Copas Barrocas - Rosse"|0.00|0.00|0|0.00|100|25|t|f|f|"2022-11-30"|"2022-11-30"|6|1|1|t|0|100|5000|35000|"sin-dato"
